sqft,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,price
1901.0,3,3,1968.0,3644.0,Rural,3,483620
1421.0,4,2,2011.0,3660.0,Rural,3,389253
1088.0,3,3,1995.0,2019.0,Rural,1,295581
1476.0,3,1,1981.0,5498.0,Downtown,3,421106
1259.0,4,3,2001.0,2977.0,Midtown,3,446422
2643.0,4,1,1985.0,4985.0,Suburbs,2,563844
2240.0,4,3,2017.0,3502.0,Suburbs,2,550278
1796.0,4,3,2013.0,5593.0,Suburbs,1,494337
2539.0,4,3,1971.0,7851.0,Downtown,2,645099
1838.0,4,1,1976.0,4322.0,Downtown,0,407059
1369.0,4,2,1973.0,2298.0,Rural,0,302346
2561.0,4,2,1973.0,6464.0,Downtown,3,607734
2069.0,4,2,2016.0,4713.0,Suburbs,1,514762
1281.0,3,1,1993.0,4089.0,Suburbs,2,319761
1704.0,4,4,2012.0,5136.0,Downtown,2,582970
1362.0,2,2,2016.0,3284.0,Midtown,3,459648
1108.0,4,2,1979.0,2265.0,Downtown,3,493673
